player_name,years_played,year_drafted,draft_pick_overall
Jrue Holiday,11,2009,17
Justin Holiday,9,2011,61
Richaun Holmes,5,2015,37
Rodney Hood,8,2014,23
Al Horford,13,2007,3
Talen Horton-Tucker,1,2019,46
Danuel House,4,2016,61
Dwight Howard,16,2004,1
Markus Howard,0,2020,61
Kevin Huerter,2,2018,19
Elijah Hughes,0,2020,39
De'Andre Hunter,1,2019,4
Chandler Hutchison,2,2018,22
Serge Ibaka,12,2008,24
Andre Iguodala,16,2004,9
Joe Ingles,6,2009,61
Brandon Ingram,4,2016,2
Kyrie Irving,9,2011,1
Wesley Iwundu,3,2017,33
Frank Jackson,2,2017,31
Josh Jackson,3,2017,4
Justin Jackson,0,N/A,N/A
Reggie Jackson,0,N/A,61
Justin James,1,2019,40
LeBron James,17,2003,1
DaQuan Jeffries,1,2019,61
Isaiah Joe,0,2020,49
Cameron Johnson,1,2019,11
James Johnson,11,2009,16
Keldon Johnson,1,2019,29
Stanley Johnson,6,2015,8
Tyler Johnson,8,2014,61
Nikola Jokić,5,2014,41
Damian Jones,0,N/A,61
Derrick Jones Jr.,5,2016,61
Mason Jones,0,N/A,N/A
Tre Jones,0,2020,41
Tyus Jones,5,2015,24
DeAndre Jordan,13,2008,35
Cory Joseph,9,2011,29
Mfiondu Kabengele,0,2019,27
Frank Kaminsky,5,2015,9
Enes Kanter,11,2011,3
Luke Kennard,3,2017,12
Maxi Kleber,3,2014,61
Nathan Knight,0,2020,61
Kevin Knox,2,2018,9
John Konchar,1,2019,61
Furkan Korkmaz,3,2016,26
Luke Kornet,3,2017,61
Rodions Kurucs,3,2018,40
Kyle Kuzma,3,2017,27
Jeremy Lamb,8,2012,12
Zach LaVine,6,2014,13
Jake Layman,4,2016,47
Jalen Lecque,1,2019,61
Damion Lee,3,2016,61
Saben Lee,0,2020,38
Alex Len,9,2013,5
Kawhi Leonard,9,2011,15
Meyers Leonard,9,2012,11
Caris LeVert,5,2016,20
Kira Lewis Jr.,0,2020,13
Damian Lillard,8,2012,6
Nassir Little,1,2019,25
Kevon Looney,5,2015,30
Brook Lopez,12,2008,10
Robin Lopez,12,2008,15
Kevin Love,13,2008,5
Kyle Lowry,15,2006,24
Timothé Luwawu-Cabarrot,5,2016,24
Trey Lyles,5,2015,12
Thon Maker,6,2016,10
Théo Maledon,0,2020,34
Karim Mané,0,2020,61
Terance Mann,0,2019,48
Nico Mannion,0,2020,48
Boban Marjanović,5,2010,61
Lauri Markkanen,3,2017,7
Naji Marshall,0,2020,61
Caleb Martin,1,2019,61
Cody Martin,1,2019,36
Kelan Martin,1,2018,61
Kenyon Martin Jr.,0,2020,52
Frank Mason III,4,2017,34
Garrison Mathews,1,2019,61
Dakota Mathias,1,2018,61
Wesley Matthews,13,2009,61
Tyrese Maxey,0,2020,21
Skylar Mays,0,2020,50
CJ McCollum,7,2013,10
T.J. McConnell,5,2015,61
Jaden McDaniels,0,2020,28
Jalen McDaniels,1,2019,52
Doug McDermott,8,2014,11
Sean McDermott,0,N/A,61
JaVale McGee,14,2008,18
Rodney McGruder,4,2013,61
Alfonzo McKinnie,3,2015,61
Jordan McLaughlin,1,2018,61
Ben McLemore,7,2013,7
Nicolò Melli,1,2013,61
De'Anthony Melton,2,2018,46
Sam Merrill,0,2020,60
Chimezie Metu,2,2018,49
Khris Middleton,8,2012,39
Darius Miller,5,2012,46
Patty Mills,11,2009,55
Paul Millsap,14,2006,47
Shake Milton,2,2018,54
Donovan Mitchell,3,2017,13
Adam Mokoka,1,2019,61
Malik Monk,3,2017,11
E'Twaun Moore,9,2011,55
Ja Morant,1,2019,2
Juwan Morgan,1,2019,61
Marcus Morris,11,2011,14
Markieff Morris,12,2011,13
Mychal Mulder,1,2017,61
Dejounte Murray,3,2016,29
Jamal Murray,4,N/A,61
Mike Muscala,7,2013,44
Sviatoslav Mykhailiuk,3,N/A,61
Abdel Nader,3,2016,58
Larry Nance Jr.,6,2015,27
Aaron Nesmith,0,2020,14
Raul Neto,5,2013,47
Georges Niang,4,2016,50
Zeke Nnaji,0,2020,22
Nerlens Noel,7,2013,6
Jaylen Nowell,1,2019,43
Frank Ntilikina,3,2017,8
Kendrick Nunn,1,2018,61
David Nwaba,4,2016,61
Jordan Nwora,0,2020,45
Royce O'Neale,3,2015,61
Semi Ojeleye,3,2017,37
Jahlil Okafor,6,2015,3
Chuma Okeke,0,2019,16
Josh Okogie,2,2018,20
Onyeka Okongwu,0,2020,6
Isaac Okoro,0,2020,5
KZ Okpala,1,2019,32
Victor Oladipo,8,2013,2
Kelly Olynyk,7,2013,13
Miye Oni,1,2019,58
Cedi Osman,3,2015,31
Daniel Oturu,0,2020,33
Kelly Oubre Jr.,6,2015,15
Eric Paschall,1,2019,41
Anžejs Pasečņiks,2,2017,25
Patrick Patterson,12,2010,14
Chris Paul,15,2005,4
Cameron Payne,7,2015,14
Elfrid Payton,7,2014,10
Norvel Pelle,2,2014,61
Reggie Perry,0,2020,57
Theo Pinson,2,2018,61
Mason Plumlee,8,2013,22
Vincent Poirier,1,2015,61
Jordan Poole,1,2019,28
Michael Porter Jr.,1,2018,14
Otto Porter,8,2013,3
Bobby Portis,6,2015,22
Kristaps Porziņģis,4,2015,4
Dwight Powell,6,2014,45
Norman Powell,5,2015,46
Taurean Prince,5,2016,12
Payton Pritchard,0,2020,26
Immanuel Quickley,0,2020,25
Jahmi'us Ramsey,0,2020,43
Chasson Randle,4,2015,61
Julius Randle,6,2014,7
Cam Reddish,1,2019,10
J.J. Redick,15,2006,11
Paul Reed,0,2020,58
Naz Reid,1,2019,61
Nick Richards,0,N/A,N/A
Josh Richardson,5,2015,40
Austin Rivers,10,2012,10
Duncan Robinson,2,2018,61
